Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00243
A	HLA-Aw0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0	0.14916	0.17883
A	HLA-Aw0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	0.13723	0.1764
A	HLA-Aw0-0-0-0-13-0-0-0-0-0-0-0-0-0-0-0-0	0.06325	0.06204
A	HLA-Aw0-0-0-0-15-0-0-0-0-0-0-0-0-0-0-0-0	0.10263	0.1326
A	HLA-Aw0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0	0.10621	0.10097
A	HLA-Aw0-0-0-0-19-0-0-0-0-0-0-0-0-0-0-0-0	0.04296	0.02311
A	HLA-Aw0-0-0-0-20-0-0-0-0-0-0-0-0-0-0-0-0	0.01432	0.01946
A	HLA-Aw0-0-0-0-21-0-0-0-0-0-0-0-0-0-0-0-0	0.00597	0.01946
A	HLA-Aw0-0-0-0-22-0-0-0-0-0-0-0-0-0-0-0-0	0.05131	0.03528
A	HLA-Aw0-0-0-0-27-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00122
A	HLA-Aw0-0-0-0-4-0-0-0-0-0-0-0-0-0-0-0-0	0.28401	0.21046
A	HLA-Aw0-0-0-0-9-0-0-0-0-0-0-0-0-0-0-0-0	0.04296	0.03771
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06205	0.05231
C	HLA-Cw0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0	0.03103	0.02433
C	HLA-Cw0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	0.16706	0.18978
C	HLA-Cw0-0-0-0-11-0-0-0-0-0-0-0-0-0-0-0-0	0.12172	0.20925
C	HLA-Cw0-0-0-0-14-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0.00122
C	HLA-Cw0-0-0-0-16-0-0-0-0-0-0-0-0-0-0-0-0	0.03819	0.02676
C	HLA-Cw0-0-0-0-17-0-0-0-0-0-0-0-0-0-0-0-0	0.00716	0.01825
C	HLA-Cw0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0	0.31146	0.28467
C	HLA-Cw0-0-0-0-7-0-0-0-0-0-0-0-0-0-0-0-0	0.13842	0.09611
C	HLA-Cw0-0-0-0-8-0-0-0-0-0-0-0-0-0-0-0-0	0.10979	0.09124
C	HLA-Cw0-0-0-0-9-0-0-0-0-0-0-0-0-0-0-0-0	0.01193	0.00608
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00358	0.00243
B	HLA-Bw0-0-0-0-1-0-0-0-0-0-0-0-0-0-0	0.11814	0.20195
B	HLA-Bw0-0-0-0-11-0-0-0-0-0-0-0-0-0-0	0	0.00122
B	HLA-Bw0-0-0-0-13-0-0-0-0-0-0-0-0-0-0	0.00477	0.00852
B	HLA-Bw0-0-0-0-18-0-0-0-0-0-0-0-0-0-0	0.08473	0.10341
B	HLA-Bw0-0-0-0-19-0-0-0-0-0-0-0-0-0-0	0.0537	0.04623
B	HLA-Bw0-0-0-0-21-0-0-0-0-0-0-0-0-0-0	0.12649	0.10827
B	HLA-Bw0-0-0-0-24-0-0-0-0-0-0-0-0-0-0	0.03222	0.01825
B	HLA-Bw0-0-0-0-25-0-0-0-0-0-0-0-0-0-0	0.06086	0.01825
B	HLA-Bw0-0-0-0-26-0-0-0-0-0-0-0-0-0-0	0.13365	0.08516
B	HLA-Bw0-0-0-0-29-0-0-0-0-0-0-0-0-0-0	0.00239	0.00608
B	HLA-Bw0-0-0-0-3-0-0-0-0-0-0-0-0-0-0	0.09785	0.13625
B	HLA-Bw0-0-0-0-32-0-0-0-0-0-0-0-0-0-0	0.03222	0.04015
B	HLA-Bw0-0-0-0-33-0-0-0-0-0-0-0-0-0-0	0.00358	0.00365
B	HLA-Bw0-0-0-0-35-0-0-0-0-0-0-0-0-0-0	0.07518	0.06934
B	HLA-Bw0-0-0-0-36-0-0-0-0-0-0-0-0-0-0	0.03341	0.03771
B	HLA-Bw0-0-0-0-41-0-0-0-0-0-0-0-0-0-0	0	0.00122
B	HLA-Bw0-0-0-0-5-0-0-0-0-0-0-0-0-0-0	0.03222	0.01703
B	HLA-Bw0-0-0-0-6-0-0-0-0-0-0-0-0-0-0	0.01313	0.00852
B	HLA-Bw0-0-0-0-7-0-0-0-0-0-0-0-0-0-0	0.02983	0.02433
B	HLA-Bw0-0-0-0-8-0-0-0-0-0-0-0-0-0-0	0.06205	0.06204
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.07518	0.05231
DRB1	HLA-DRB1w0-0-0-0-10-0-0-0-0-0-0-0-0	0.01551	0.00973
DRB1	HLA-DRB1w0-0-0-0-11-0-0-0-0-0-0-0-0	0.01074	0.0146
DRB1	HLA-DRB1w0-0-0-0-12-0-0-0-0-0-0-0-0	0.09547	0.1472
DRB1	HLA-DRB1w0-0-0-0-13-0-0-0-0-0-0-0-0	0.00119	0
DRB1	HLA-DRB1w0-0-0-0-14-0-0-0-0-0-0-0-0	0.09785	0.05109
DRB1	HLA-DRB1w0-0-0-0-16-0-0-0-0-0-0-0-0	0.00597	0.00487
DRB1	HLA-DRB1w0-0-0-0-17-0-0-0-0-0-0-0-0	0.00716	0.0073
DRB1	HLA-DRB1w0-0-0-0-18-0-0-0-0-0-0-0-0	0.13962	0.08516
DRB1	HLA-DRB1w0-0-0-0-20-0-0-0-0-0-0-0-0	0.00239	0.00365
