Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0	34	96
A	HLA-Aw0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0	4	17
A	HLA-Aw0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0	45	96
A	HLA-Aw0-0-0-0-0-0-6-0-0-0-0-0-0-0-0-0-0	16	47
A	HLA-Aw0-0-0-0-0-0-7-0-0-0-0-0-0-0-0-0-0	35	100
A	HLA-Aw0-0-0-0-0-0-9-0-0-0-0-0-0-0-0-0-0	18	52
A	binned	12	38
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	24
C	HLA-Cw0-0-0-0-0-0-11-0-0-0-0-0-0-0-0-0-0	12	27
C	HLA-Cw0-0-0-0-0-0-13-0-0-0-0-0-0-0-0-0-0	79	210
C	HLA-Cw0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0	15	66
C	HLA-Cw0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0-0	19	38
C	HLA-Cw0-0-0-0-0-0-8-0-0-0-0-0-0-0-0-0-0	15	30
C	binned	15	51
B	HLA-Bw0-0-0-0-0-0-1-0-0-0-0-0-0-0-0	60	151
B	HLA-Bw0-0-0-0-0-0-11-0-0-0-0-0-0-0-0	8	48
B	HLA-Bw0-0-0-0-0-0-14-0-0-0-0-0-0-0-0	19	53
B	HLA-Bw0-0-0-0-0-0-2-0-0-0-0-0-0-0-0	15	43
B	HLA-Bw0-0-0-0-0-0-27-0-0-0-0-0-0-0-0	4	17
B	HLA-Bw0-0-0-0-0-0-6-0-0-0-0-0-0-0-0	9	24
B	HLA-Bw0-0-0-0-0-0-9-0-0-0-0-0-0-0-0	32	60
B	binned	17	50
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	5	16
DRB1	HLA-DRB1w0-0-0-0-0-0-16-0-0-0-0-0-0	10	17
DRB1	HLA-DRB1w0-0-0-0-0-0-18-0-0-0-0-0-0	8	40
DRB1	HLA-DRB1w0-0-0-0-0-0-19-0-0-0-0-0-0	12	26
DRB1	HLA-DRB1w0-0-0-0-0-0-21-0-0-0-0-0-0	13	34
DRB1	HLA-DRB1w0-0-0-0-0-0-25-0-0-0-0-0-0	8	18
DRB1	HLA-DRB1w0-0-0-0-0-0-31-0-0-0-0-0-0	86	253
DRB1	binned	22	42
DQB1	HLA-DQB1w0-0-0-0-0-0-1-0-0-0-0-0-0	8	41
DQB1	HLA-DQB1w0-0-0-0-0-0-11-0-0-0-0-0-0	90	256
DQB1	HLA-DQB1w0-0-0-0-0-0-2-0-0-0-0-0-0	10	24
DQB1	HLA-DQB1w0-0-0-0-0-0-4-0-0-0-0-0-0	22	43
DQB1	HLA-DQB1w0-0-0-0-0-0-5-0-0-0-0-0-0	8	22
DQB1	HLA-DQB1w0-0-0-0-0-0-7-0-0-0-0-0-0	11	17
DQB1	binned	15	43
DPB1	HLA-DPB1w0-0-0-0-0-0-2-0-0-0-0	128	327
DPB1	HLA-DPB1w0-0-0-0-0-0-3-0-0-0-0	27	89
DPB1	binned	9	30
