Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	310	375
A	HLA-Aw0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0	72	51
A	HLA-Aw0-0-0-0-0-0-0-16-0-0-0-0-0-0-0-0-0	86	109
A	HLA-Aw0-0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-0	58	54
A	HLA-Aw0-0-0-0-0-0-0-23-0-0-0-0-0-0-0-0-0	32	26
A	HLA-Aw0-0-0-0-0-0-0-26-0-0-0-0-0-0-0-0-0	11	3
A	HLA-Aw0-0-0-0-0-0-0-30-0-0-0-0-0-0-0-0-0	31	29
A	HLA-Aw0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0	238	174
A	HLA-Aw0-0-0-0-0-0-0-50-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	26	20
C	HLA-Cw0-0-0-0-0-0-0-15-0-0-0-0-0-0-0-0-0	242	329
C	HLA-Cw0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0	232	215
C	HLA-Cw0-0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-0	10	5
C	HLA-Cw0-0-0-0-0-0-0-24-0-0-0-0-0-0-0-0-0	32	22
C	HLA-Cw0-0-0-0-0-0-0-25-0-0-0-0-0-0-0-0-0	6	15
C	HLA-Cw0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0-0	43	34
C	HLA-Cw0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0	33	26
C	HLA-Cw0-0-0-0-0-0-0-6-0-0-0-0-0-0-0-0-0	116	79
C	HLA-Cw0-0-0-0-0-0-0-9-0-0-0-0-0-0-0-0-0	92	76
C	binned	6	1
B	HLA-Bw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	150	182
B	HLA-Bw0-0-0-0-0-0-0-13-0-0-0-0-0-0-0	143	120
B	HLA-Bw0-0-0-0-0-0-0-17-0-0-0-0-0-0-0	109	69
B	HLA-Bw0-0-0-0-0-0-0-20-0-0-0-0-0-0-0	28	31
B	HLA-Bw0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	181	191
B	HLA-Bw0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	68	48
B	HLA-Bw0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	157	179
B	binned	2	2
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	255	145
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	437	588
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	117	70
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	29	18
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	166	173
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	189	125
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	152	99
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	158	91
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	9	9
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	164	325
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	32	36
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	778	752
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	24	25
DPB1	binned	4	7
