Locus	Allele	Group.0	Group.1
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	24	71
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	35	100
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	10	25
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	18	52
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	11	30
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	11	27
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	4	17
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	44	99
A	binned	7	25
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	25
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	19	38
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	15	30
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	14	39
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	19	80
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	77	205
C	binned	11	29
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-0	54	143
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-0	17	47
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-0	8	22
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-0	21	68
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-0	20	40
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-0	19	53
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-0	3	18
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-0	4	16
B	binned	18	39
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	5	16
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-0	10	17
DRB1	HLA-DRB1w20-0-0-0-0-0-0-0-0-0-0-0-0	86	253
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-0	16	57
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-0	13	19
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-0	13	34
DRB1	binned	21	50
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-0	8	41
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-0	11	17
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-0	92	264
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-0	10	24
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-0	22	42
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-0	8	22
DQB1	binned	13	36
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-0	19	56
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-0	138	373
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-0	6	17
