Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.36993	0.4562
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.321	0.24818
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.04296	0.03893
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.01432	0.01946
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.08831	0.11314
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	0.06921	0.06569
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	0.09427	0.05839
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.18019	0.1253
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	0.03819	0.02676
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	0.00716	0.01825
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	0.0537	0.04258
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.1969	0.191
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.1253	0.10341
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.10859	0.09246
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.28878	0.40024
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0.00122
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	0.17542	0.22019
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	0.03341	0.03771
B	HLA-Bw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0	0	0.00122
B	HLA-Bw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	0.00477	0.00122
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	0.2864	0.27251
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	0.03222	0.01703
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	0.08115	0.05839
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	0.38186	0.38686
B	HLA-Bw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0	0.00358	0.00365
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00122
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.3043	0.1764
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.52148	0.71533
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	0.13962	0.08516
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	0.03461	0.0219
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.19809	0.21046
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.22554	0.15207
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	0.18138	0.12044
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	0.18854	0.11071
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	0.01074	0.01095
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	0.1957	0.39538
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0.00119	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	0.03819	0.0438
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	0.9284	0.91484
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	0.02864	0.03041
DPB1	HLA-DPB1w0-0-0-0-0-0-0-5-0-0-0	0.00358	0.00852
