Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.2327	0.27981
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.13723	0.1764
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	0.42363	0.38078
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	0.20644	0.16302
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-0-0	0	0.00122
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.71002	0.59854
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.28878	0.40024
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0.00122
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	0.5358	0.55231
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	0.46301	0.44647
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00122
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.61695	0.6253
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	0.36993	0.36131
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-3-0-1-0	0.00358	0.00365
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-4-0-1-0	0.00955	0.00852
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.00239	0.00122
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.60501	0.48297
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	0.3926	0.51582
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0.00119	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	0.99881	0.99757
